Date,ASJO,AXVI,DAX,SPX,N225,NKVI.OS,STOXX50E,VIX,VDAX,V2TX
1990-01-02,,,1788.8900146484375,359.69000244140625,,,,0.17239999771118164,,
1990-01-03,,,1867.2900390625,358.760009765625,,,,0.18190000534057618,,
1990-01-04,,,1830.9200439453125,355.6700134277344,38712.87890625,,,0.1921999931335449,,
1990-01-05,,,1812.9000244140625,352.20001220703125,38274.76171875,,,0.20110000610351558,,
1990-01-08,,,1841.469970703125,353.7900085449219,38294.9609375,,,0.20260000228881836,,
1990-01-09,,,1865.52001953125,349.6199951171875,37951.4609375,,,0.22200000762939454,,
1990-01-10,,,1843.050048828125,347.30999755859375,37696.51171875,,,0.22440000534057616,,
1990-01-11,,,1843.4200439453125,348.5299987792969,38170.12890625,,,0.20049999237060548,,
1990-01-12,,,1860.9599609375,339.92999267578125,37516.76953125,,,0.2463999938964844,,
1990-01-15,,,1840.3800048828125,337.0,,,,0.2634000015258789,,
1990-01-16,,,1806.0999755859375,340.75,36850.359375,,,0.2418000030517578,,
1990-01-17,,,1810.6099853515625,337.3999938964844,36821.140625,,,0.24159999847412109,,
1990-01-18,,,1771.6700439453125,338.19000244140625,36729.4609375,,,0.2434000015258789,,
1990-01-19,,,1775.2900390625,339.1499938964844,36836.5390625,,,0.225,,
1990-01-22,,,1787.0799560546875,330.3800048828125,37257.01171875,,,0.2670000076293945,,
1990-01-23,,,1785.0,331.6099853515625,37378.01953125,,,0.24719999313354493,,
1990-01-24,,,1751.6199951171875,330.260009765625,36778.98046875,,,0.25389999389648443,,
1990-01-25,,,1791.52001953125,326.0799865722656,36969.109375,,,0.25629999160766603,,
1990-01-26,,,1798.219970703125,325.79998779296875,36874.0703125,,,0.2628000068664551,,
1990-01-29,,,1815.68994140625,325.20001220703125,37173.69921875,,,0.26440000534057617,,
1990-01-30,,,1815.199951171875,322.9800109863281,37215.671875,,,0.2725,,
1990-01-31,,,1821.2099609375,329.0799865722656,37188.94921875,,,0.2536000061035156,,
1990-02-01,,,1852.9200439453125,328.7900085449219,37206.421875,,,0.24870000839233397,,
1990-02-02,,,1908.4599609375,330.9200134277344,37650.1484375,,,0.24319999694824218,,
1990-02-05,,,1939.8199462890625,331.8500061035156,37631.41015625,,,0.24540000915527344,,
1990-02-06,,,1936.25,329.6600036621094,37666.828125,,,0.24690000534057618,,
1990-02-07,,,1895.6500244140625,333.75,37301.87109375,,,0.24290000915527343,,
1990-02-08,,,1909.949951171875,332.9599914550781,37516.23828125,,,0.2377000045776367,,
1990-02-09,,,1895.9300537109375,333.6199951171875,37288.140625,,,0.23690000534057618,,
1990-02-12,,,1844.469970703125,330.0799865722656,,,,0.24379999160766602,,
1990-02-13,,,1857.0999755859375,331.0199890136719,37107.03125,,,0.23760000228881836,,
1990-02-14,,,1836.5799560546875,332.010009765625,37155.890625,,,0.22049999237060547,,
1990-02-15,,,1845.9200439453125,334.8900146484375,37471.98828125,,,0.19709999084472657,,
1990-02-16,,,1888.8199462890625,332.7200012207031,37460.3203125,,,0.20780000686645508,,
1990-02-19,,,1886.72998046875,,37222.6015625,,,,,
1990-02-20,,,1830.510009765625,327.989990234375,36895.51953125,,,0.22780000686645507,,
1990-02-21,,,1807.4000244140625,327.6700134277344,35734.328125,,,0.23889999389648442,,
1990-02-22,,,1823.5,325.70001220703125,35826.83984375,,,0.22540000915527345,,
